author,comment,time,votes,clean,clean_nostop,polarity,sentiment
@lewellynsecondtjakauruaf6293,Anyone here in 2023 😂🙏🏽,2 years ago,3,anyone here in 2023,anyone 2023,0.0,neutral
@sologoatt1024,It’s 2023 for me 🤣🤣🤣,2 years ago,3,it s 2023 for me,2023,0.0,neutral
@HenryOnuoha-kj6qu,Anyone here 2023 💯,2 years ago,3,anyone here 2023,anyone 2023,0.0,neutral
@APie-d1y,Here in 2023 after watching kenye west style😅😅😅😅,2 years ago,1,here in 2023 after watching kenye west style,2023 watching kenye west style,0.0,neutral
@celejmuhambi9714,Hey GODS WILL AT 2025😊.,2 years ago,1,hey gods will at 2025,hey gods 2025,0.0,neutral
@AceBeeCee,"""Tromp! Baby tromp!""
That made me blow up and crack my funny bone.",2 years ago,0,tromp baby tromp that made me blow up and crack my funny bone,tromp baby tromp made blow crack funny bone,0.25,positive
@NodumoNyoni,Its 2023 I'm still watching this one🔥🔥❤️,2 years ago,1,its 2023 i'm still watching this one,2023 still watching one,0.0,neutral
@ShaneTaylor30,Anyone here in 2023😂😂😂😂😂😂,2 years ago,0,anyone here in 2023,anyone 2023,0.0,neutral
@mariepriscasingainy-moutia5201,😂😂😂,2 years ago,0,,,0.0,neutral
@IslamIslam-pu1ol,I am African kid And England muslim,2 years ago,0,i am african kid and england muslim,african kid england muslim,0.0,neutral
@herdhoboss2478,Denilsen see your bebe like. Toilet brush,2 years ago,0,denilsen see your bebe like toilet brush,denilsen see bebe like toilet brush,-0.03333333333333333,neutral
@paulpaul2208,Anyone in 2023?,2 years ago,0,anyone in 2023,anyone 2023,0.0,neutral
@shrinajohnson-chang661,Wiping bird poop under his nose really smart emmanuela.✌✌✌✌😎😎😎😎,2 years ago,1,wiping bird poop under his nose really smart emmanuela,wiping bird poop nose really smart emmanuela,0.21428571428571427,positive
@nsenginyumvabezabriella3817,DENILSON   he   has  trump  even  emanualla  she  right   he   will   run  mad  oh  oh  oh.,2 years ago,1,denilson he has trump even emanualla she right he will run mad oh oh oh,denilson trump even emanualla right run mad oh oh oh,-0.16964285714285715,negative
@QualityFTF,Oh my nigga mark😂😂😂lol,2 years ago,1,oh my nigga marklol,oh nigga marklol,0.0,neutral
@textingstory887,I was dead at 0:35,2 years ago,0,i was dead at 0 35,dead 35,-0.2,negative
@sanjanasaraswathi,Anyone here in 2023😂😂✋🙌,2 years ago,4,anyone here in 2023,anyone 2023,0.0,neutral
@mariepriscasingainy-moutia5201,Tunisie pour,2 years ago,0,tunisie pour,tunisie pour,0.0,neutral
@viralfever4131,Who’s here in 2023,2 years ago (edited),0,who s here in 2023,2023,0.0,neutral
@thenjiwencube4093,I came back woo..what's going on,2 years ago,0,i came back woo what's going on,came back woo what's going,0.0,neutral
@ermineking931,Denison said the earth is smiling,2 years ago,1,denison said the earth is smiling,denison said earth smiling,0.0,neutral
@n3philim275,6:35 take say smoking weed quietly. I bet no one heard this till they see this comment. Like this comment if you hear it also.!,2 years ago,1,6 35 take say smoking weed quietly i bet no one heard this till they see this comment like this comment if you hear it also,35 take say smoking weed quietly bet one heard till see comment like comment hear also,0.0,neutral
@ermineking931,No its,2 years ago,1,no its,,0.0,neutral
@memyselfni3202,Emanuella is wrong for this 😂,2 years ago,1,emanuella is wrong for this,emanuella wrong,-0.5,negative
@letthenseilhungdim,Anyone here in 2023?,2 years ago,0,anyone here in 2023,anyone 2023,0.0,neutral
@PastorIsaacXulu,Shuu 😂🤣,2 years ago,1,shuu,shuu,0.0,neutral
@PastorIsaacXulu,Mark is the best 😂🤣,2 years ago,0,mark is the best,mark best,1.0,positive
@Victortv45,"I love mark, Emmanuella Denison, k brown, and most especially success ❤️❤️ wise success smart Emmanuella 🤣🤣❤️❤️❤️",2 years ago,0,i love mark emmanuella denison k brown and most especially success wise success smart emmanuella,love mark emmanuella denison brown especially success wise success smart emmanuella,0.469047619047619,positive
@People_review,2023 from kerala india 😍,2 years ago,0,2023 from kerala india,2023 kerala india,0.0,neutral
@BerkoMedia,2023 still dhup ❤,2 years ago,0,2023 still dhup,2023 still dhup,0.0,neutral
@michaeliathomas4479,Anyone here in 2023 😂,2 years ago,1,anyone here in 2023,anyone 2023,0.0,neutral
@renmikebonsua4539,"2023 but still im here ,ever since hahaha",2 years ago,0,2023 but still im here ever since hahaha,2023 still im ever since hahaha,0.2,positive
@eunice1471,Am wondering why delison  came back from American poor and his laughing at his friends there still poor asking if comedy doesn't pay them😂😂😂😂😂,2 years ago,0,am wondering why delison came back from american poor and his laughing at his friends there still poor asking if comedy doesn't pay them,wondering delison came back american poor laughing friends still poor asking comedy pay,-0.2,negative
@footballlegend8046,Denison is the only reason why I watch mark Angel comedy 👏👏👏,2 years ago,0,denison is the only reason why i watch mark angel comedy,denison reason watch mark angel comedy,0.0,neutral
@soloplay8049,Who is still watching in 2023.,2 years ago,1,who is still watching in 2023,still watching 2023,0.0,neutral
@loftonseymour5623,This guy is good he could make you Laugh,2 years ago,0,this guy is good he could make you laugh,guy good could make laugh,0.5,positive
@udhay-z9q,Here in 2023,2 years ago,0,here in 2023,2023,0.0,neutral
@fantadiarra833,2023🎉❤,2 years ago,0,2023,2023,0.0,neutral
@evitaorengo79,2023,2 years ago,0,2023,2023,0.0,neutral
@Random-user93,Legends say that Denilson is still saying that something is smelling.,2 years ago,0,legends say that denilson is still saying that something is smelling,legends say denilson still saying something smelling,0.0,neutral
@n3philim275,They say”,2 years ago,0,they say,say,0.0,neutral
@esther960,Who’s here 2023 🤣,2 years ago,1,who s here 2023,2023,0.0,neutral
@Hahaha-s9x,Anyone hea 2023,2 years ago,0,anyone hea 2023,anyone hea 2023,0.0,neutral
@fantozzatv,Anyone here in 2023 😂😋,2 years ago,0,anyone here in 2023,anyone 2023,0.0,neutral
@keamogetsweledwaba6045,Anyone watching in 2023🔥🤗,2 years ago,0,anyone watching in 2023,anyone watching 2023,0.0,neutral
@riyaruna2286,2023😂,2 years ago,0,2023,2023,0.0,neutral
@oseiwilberforce4554,2023 😂,2 years ago,1,2023,2023,0.0,neutral
@mohamedyusuf4641,This Trump men,2 years ago,1,this trump men,trump men,0.0,neutral
@daibioruene5884,The earth is smelling😂😂😂😂😂😂😂😂😂😂😂😂😂,2 years ago,0,the earth is smelling,earth smelling,0.0,neutral
@daibioruene5884,Its trump men trump TRUMP,2 years ago,0,its trump men trump trump,trump men trump trump,0.0,neutral
@daibioruene5884,Its trump trump😂,2 years ago,0,its trump trump,trump trump,0.0,neutral
@SawikiKauh,trump baby trump,2 years ago,0,trump baby trump,trump baby trump,0.0,neutral
@SawikiKauh,its very funny  i like mark angel comedy movies😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2 years ago,0,its very funny i like mark angel comedy movies,funny like mark angel comedy movies,0.325,positive
@Uglyboy_257,Anyone else here in 2023 ?,2 years ago,1,anyone else here in 2023,anyone else 2023,0.0,neutral
@zara9492,Emanuella really said that denilson looks like father christmas with no money she got me on the floor 😂😂😂😂,2 years ago,4,emanuella really said that denilson looks like father christmas with no money she got me on the floor,emanuella really said denilson looks like father christmas money got floor,0.2,positive
@Hellobro630,"Anyone  here in 
2023",2 years ago,2,anyone here in 2023,anyone 2023,0.0,neutral
@juliatimothy8072,Anyone hear in 2022!!,2 years ago,1,anyone hear in 2022,anyone hear 2022,0.0,neutral
@Spleefy-z5p,Anyone here in 2022,2 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@zainabtouray7681,That's end video That's was very funny 😄 😆 🤣 😂 😀 😁,2 years ago,0,that's end video that's was very funny,that's end video that's funny,0.325,positive
@1Jaheim,Anyone here in 2022😂😂😂,2 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@nolusindisofihla5734,Shu men 😹😹😹😹😹,2 years ago,1,shu men,shu men,0.0,neutral
@amariwilson1310,Me o.,2 years ago,0,me o,,0.0,neutral
@average16yoldd,😂😢,2 years ago,0,,,0.0,neutral
@abbymutheu1699,Yes me,2 years ago,0,yes me,yes,0.0,neutral
@teodormwenenimwashindange,Trump has killed me ooo😂😂😂,2 years ago,1,trump has killed me ooo,trump killed ooo,-0.2,negative
@cyberpro-gp2nh,this is impresive,2 years ago,0,this is impresive,impresive,0.0,neutral
@chiragjani9342,"Mark men , ok mark lets forget about this men thing . Most funny line in this episode 🤣🤣🤣🤣",2 years ago,8,mark men ok mark lets forget about this men thing most funny line in this episode,mark men ok mark lets forget men thing funny line episode,0.4166666666666667,positive
@dianamakungu8262,I think am gonna watch this for a lifetime.....God bless you guys,2 years ago,1,i think am gonna watch this for a lifetime god bless you guys,think gonna watch lifetime god bless guys,0.0,neutral
@isaacchunga8079,🤣🤣🤣🤣🤣🤣🤣🤣,2 years ago,0,,,0.0,neutral
@monicandita,To funny 🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂🤩,2 years ago,0,to funny,funny,0.25,positive
@obedsikute8068,2022 13th November have missed him,2 years ago,1,2022 13th november have missed him,2022 13th november missed,0.0,neutral
@gotsileinedollynkwakweng7323,Trumpppp,2 years ago,0,trumpppp,trumpppp,0.0,neutral
@mauricezuniga4405,Can,2 years ago,0,can,,0.0,neutral
@sethabilebuthelezi8253,wow uhm Mark is dumb🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😆😆😆😆😆😅😁😁😁😁😁😂😂😂😂😂😆😆😆😆😆Like i saw this episode That mark was the dumbest one in the video,3 years ago,0,wow uhm mark is dumblike i saw this episode that mark was the dumbest one in the video,wow uhm mark dumblike saw episode mark dumbest one video,0.1,neutral
@chriscarlos9188,Denilson have mad oo kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,3 years ago,0,denilson have mad oo kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,denilson mad oo kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,-0.625,negative
@faithagindoton2011,The doctor is Base 10... Our Native sense man. 🤣🤣🤣,3 years ago,1,the doctor is base 10 our native sense man,doctor base 10 native sense man,-0.8,negative
@kagefru8716,2022,3 years ago,0,2022,2022,0.0,neutral
@lone9172,Denilson plz come back,3 years ago,0,denilson plz come back,denilson plz come back,0.0,neutral
@mayahswalihoabdulai,Denilson is really good 👍 in this field,3 years ago,1,denilson is really good in this field,denilson really good field,0.7,positive
@IR09TheSequel,Shoo! Man!,3 years ago,1,shoo man,shoo man,0.0,neutral
@noobsforever223,😮 I watch you when I was five or six,3 years ago,0,i watch you when i was five or six,watch five six,0.0,neutral
@bruhurkidding2188,Who is till watching this in 2022🎉😂,3 years ago,5,who is till watching this in 2022,till watching 2022,0.0,neutral
@tomecamarie,This video makes me laugh every single time 😂,3 years ago,0,this video makes me laugh every single time,video makes laugh every single time,0.11428571428571428,positive
@A._J._23,Anybody here in 2022?,3 years ago,2,anybody here in 2022,anybody 2022,0.0,neutral
@mercyashah3311,I like this comedy alot,3 years ago,1,i like this comedy alot,like comedy alot,0.0,neutral
@Canybel,Never gets old😍,3 years ago,2,never gets old,never gets old,0.1,neutral
@millicentkwakye8050,But Denison are you with comedy or not with comedy,3 years ago,1,but denison are you with comedy or not with comedy,denison comedy comedy,0.0,neutral
@samuelefesoa7317,Legend still says he believes something is smelling. 😂😂😂,3 years ago,0,legend still says he believes something is smelling,legend still says believes something smelling,0.0,neutral
@SpedUpSongsForMe,Anybody watching in 2023,3 years ago,0,anybody watching in 2023,anybody watching 2023,0.0,neutral
@stephaniewalters-pendley1705,Any one here in 2022,3 years ago,0,any one here in 2022,one 2022,0.0,neutral
@GameChannel862,What does that means when Mark talk about his hair,3 years ago,0,what does that means when mark talk about his hair,means mark talk hair,0.0,neutral
@growwithdiamond8619,It's 2022 and I love this video 🤣🤣🤣🤣🤣,3 years ago,0,it's 2022 and i love this video,2022 love video,0.5,positive
@gospelmixxes1834,2022😁😁🇰🇪,3 years ago,0,2022,2022,0.0,neutral
@applesrennie904,Anyone here in 2022,3 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@KING1226k,Anyone here 10 August 2022 watching from Namibia...No progress man😂😂😂😂😂 shu!!,3 years ago,0,anyone here 10 august 2022 watching from namibia no progress man shu,anyone 10 august 2022 watching namibia progress man shu,0.0,neutral
@soniaemmanuel5696,Who is here in 2022🇸🇸🇸🇸🇸🇸🇸🇸,3 years ago,0,who is here in 2022,2022,0.0,neutral
@baboucarrdrammeh6127,When Denison said the Earth is smelling I said in my head (even if you move to another universe it will smell),3 years ago,1,when denison said the earth is smelling i said in my head even if you move to another universe it will smell,denison said earth smelling said head even move another universe smell,0.0,neutral
@hamzaame8373,Denilson,3 years ago,0,denilson,denilson,0.0,neutral
@jasminewade8597,Delison looks like Donal trubk,3 years ago,0,delison looks like donal trubk,delison looks like donal trubk,0.0,neutral
@missblanche3584,chai this episode is  very funny🤣🤣,3 years ago,0,chai this episode is very funny,chai episode funny,0.325,positive
@lyfersz,“oh my nigga mark” 😂,3 years ago,0,oh my nigga mark,oh nigga mark,0.0,neutral
@gideondarngawn,2022,3 years ago,0,2022,2022,0.0,neutral
@johnravengerona2140,2022,3 years ago,0,2022,2022,0.0,neutral
@mondayosas6893,Denison  oooh!,3 years ago,0,denison oooh,denison oooh,0.0,neutral
@legodilekwena5946,LOL,3 years ago,0,lol,lol,0.8,positive
@btsjhope3348,lot's of love from India,3 years ago,0,lot's of love from india,lot's love india,0.5,positive
@vaasugimuniandy1442,I'm here 2022,3 years ago,0,i'm here 2022,2022,0.0,neutral
@khiamckenzie1634,uncle Denilson you the kill me Lol 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,3 years ago,1,uncle denilson you the kill me lol,uncle denilson kill lol,0.8,positive
@livianafipe4929,It is so funny 🤣 😆 😂 😄,3 years ago,0,it is so funny,funny,0.25,positive
@hashimabdi565,Anyone here in 2022 still watching,3 years ago,0,anyone here in 2022 still watching,anyone 2022 still watching,0.0,neutral
@samiramohammed1437,Anyone here in 2022✋😂😂😂🤣🤣🤣,3 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@phindilendzinisa8267,I'd watch this one everyday😂😂😂😂😭😭💀,3 years ago,2,i'd watch this one everyday,watch one everyday,-0.2,negative
@phindilendzinisa8267,😭😭😭🤣🤣😂😂😂😂💀,3 years ago,0,,,0.0,neutral
@Kiethroy,Something is smelling I laughed so hard that I couldn't  breath 🤣 😂,3 years ago,0,something is smelling i laughed so hard that i couldn't breath,something smelling laughed hard breath,0.20416666666666664,positive
@Ancient375,"Trump: “Mark man!”

Denilson: “Trump STFU, this shit getting serious, Mark help me!!!”",3 years ago,0,trump mark man denilson trump stfu this shit getting serious mark help me,trump mark man denilson trump stfu shit getting serious mark help,-0.26666666666666666,negative
@vincentthedreamer-topic4544,2022 who is here 🤣🤣🤣💯📌,3 years ago,0,2022 who is here,2022,0.0,neutral
@georgekwame-osei2096,"Actually Denilson didn't  go mad, Emanuella put a smell in his nose",3 years ago,0,actually denilson didn't go mad emanuella put a smell in his nose,actually denilson go mad emanuella put smell nose,-0.3125,negative
@cupcake8586,Run mad🤣,3 years ago,0,run mad,run mad,-0.625,negative
@tanuyadjoe7395,🤣🤣🤣🤣🤣🤣🤣🤣😂🤩🤩🤩🤩,3 years ago,0,,,0.0,neutral
@chidiebereoluchi7318,which one is Kanye West and trump,3 years ago,0,which one is kanye west and trump,one kanye west trump,0.0,neutral
@rutendochidavaenzi5195,P,3 years ago,0,p,,0.0,neutral
@cyrillamichael9179,Any one here in 2022? This acting sry overacting cracks me every time I play it..  This one n All over 😂😂😂😂,3 years ago,0,any one here in 2022 this acting sry overacting cracks me every time i play it this one n all over,one 2022 acting sry overacting cracks every time play one,0.0,neutral
@eytanbt6772,Anyone here in 2022??,3 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@esthernicola901,2022🙋🏻‍♀️?,3 years ago,0,2022,2022,0.0,neutral
@stephenwambua4223,Anyone 2022😂😂,3 years ago,1,anyone 2022,anyone 2022,0.0,neutral
@kishiesingh8949,Anyone here in 2020,3 years ago,0,anyone here in 2020,anyone 2020,0.0,neutral
@Mr.hashtag29299,Anyone here in 2022,3 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@erwindevera4386,hahaha i love the way he said 6:42,3 years ago,0,hahaha i love the way he said 6 42,hahaha love way said 42,0.35,positive
@tonyesasa2831,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😆🥰🤢🤮🥵,3 years ago,0,,,0.0,neutral
@midway23,Anyone here in 2220,3 years ago,0,anyone here in 2220,anyone 2220,0.0,neutral
@Mika_ki1567,Is it just or I heard Delision said the n word,3 years ago,0,is it just or i heard delision said the n word,heard delision said word,0.0,neutral
@kanyikemartha900,"""We don't used to do Trump.....what we used to do is Buhari""🤣🤣🤣🤣🤣🤣🤣",3 years ago,10,we don't used to do trump what we used to do is buhari,used trump used buhari,0.0,neutral
@sampavlic5204,kktkrt,3 years ago,0,kktkrt,kktkrt,0.0,neutral
@sampavlic5204,hello,3 years ago,0,hello,hello,0.0,neutral
@Pierogiking101,Anyone here in 2022,3 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@sarahblom1266,"""Denilson have mad oh"" 🤣🤣🤣",3 years ago,0,denilson have mad oh,denilson mad oh,-0.625,negative
@Princess_luvv1,Did denilson say nigg@!?!,3 years ago,0,did denilson say nigg,denilson say nigg,0.0,neutral
@davidrang2019,Iam in 2029 please help me 😊😊😊😊,3 years ago,1,iam in 2029 please help me,iam 2029 please help,0.0,neutral
@manirambonainnocent6459,Denis is very funny,3 years ago,0,denis is very funny,denis funny,0.325,positive
@suleimanumar7727,Two Heads are better than one 🙏🙏🙏,3 years ago,0,two heads are better than one,two heads better one,0.5,positive
@makhandhadkhalanga8527,Anyone here in 2051??🤗🤗🔥,3 years ago (edited),0,anyone here in 2051,anyone 2051,0.0,neutral
@linetbaybay81,"The caption makes me laugh so hard because of the spelling 🤣 (Its not rude, im just saying its funny and the acting is funny too)",3 years ago,0,the caption makes me laugh so hard because of the spelling its not rude im just saying its funny and the acting is funny too,caption makes laugh hard spelling rude im saying funny acting funny,0.10972222222222222,positive
@frankkysmbaso3423,Denison said nigga,3 years ago,2,denison said nigga,denison said nigga,0.0,neutral
@wassup5771,Anyone here in 2022,3 years ago,1,anyone here in 2022,anyone 2022,0.0,neutral
@tonyesasa2831,Kirstie versus Bush's mad second thing she's crazy petting shoes people flag Africa people become crazy like a quick I don't know what to say about that,3 years ago,0,kirstie versus bush's mad second thing she's crazy petting shoes people flag africa people become crazy like a quick i don't know what to say about that,kirstie versus bush's mad second thing crazy petting shoes people flag africa people become crazy like quick know say,-0.2983333333333334,negative
@Six4Prophet,"He did lol 😂 ""Oh my nigga Mark."" 😂😂",3 years ago,0,he did lol oh my nigga mark,lol oh nigga mark,0.8,positive
@Six4Prophet,Yeah,3 years ago,0,yeah,yeah,0.0,neutral
@laminsowe9340,Anyone here 2022 😂😂,3 years ago,0,anyone here 2022,anyone 2022,0.0,neutral
@sallycamara3473,something is smelling shu men😂🤣,3 years ago,0,something is smelling shu men,something smelling shu men,0.0,neutral
@kevintv8377,emanuela.monggoloyd,3 years ago,0,emanuela monggoloyd,emanuela monggoloyd,0.0,neutral
@Sourabh945,2022 anyone trump here🤣,3 years ago,1,2022 anyone trump here,2022 anyone trump,0.0,neutral
@dianamunyama5613,Everybody needs to be back together 🙏,3 years ago,3,everybody needs to be back together,everybody needs back together,0.0,neutral
@dianamunyama5613,This is the best 🤣🤣🤣,3 years ago,0,this is the best,best,1.0,positive
@Cecetammy26280,* oO my nigga mark*🤣🤣,3 years ago,2,oo my nigga mark,oo nigga mark,0.0,neutral
@prololaaau,2022,3 years ago,0,2022,2022,0.0,neutral
@marlonpkeni2528,Hahaha. This is so hilarious!,3 years ago,0,hahaha this is so hilarious,hahaha hilarious,0.35,positive
@ashishdarnaltherockones26,Here in 2022,3 years ago,0,here in 2022,2022,0.0,neutral
@CatherineStarlight627,Anyone here in 2022 🤣🤣😅,3 years ago,1,anyone here in 2022,anyone 2022,0.0,neutral
@andamacode,Any one from 2022?,3 years ago,1,any one from 2022,one 2022,0.0,neutral
@benjaminkanyetu5238,make that a secret emmanuela🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,3 years ago,0,make that a secret emmanuela,make secret emmanuela,-0.4,negative
@matimbajunior9425,Hahaha can't help it 🤣,3 years ago,0,hahaha can't help it,hahaha can't help,0.2,positive
@josievoss,this is just classic lmaoo,3 years ago,0,this is just classic lmaoo,classic lmaoo,0.16666666666666666,positive
@abdirahmansalah3461,we missed denilson big time 😂😂😂😂😂😂,3 years ago,0,we missed denilson big time,missed denilson big time,0.0,neutral
@natashasinatra5016,I love  this  guys,3 years ago,0,i love this guys,love guys,0.5,positive
@ivyvivine,Denilson is the best😂😂😂😂,3 years ago,0,denilson is the best,denilson best,1.0,positive
@opsandra9914,Anyone here in 2022🤣🤣😂😂,3 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@Techno-ko2mh,Anyone her 2022?🤚🤚,3 years ago,0,anyone her 2022,anyone 2022,0.0,neutral
@marinesassemble424,Me,3 years ago,0,me,,0.0,neutral
@markangelcomedy,Thank you 🥰,3 years ago,0,thank you,thank,0.0,neutral
@tagowjorror7955,Hello anyone here in 2022🤣🤣🤣🤣🤣🤣🤣,3 years ago,1,hello anyone here in 2022,hello anyone 2022,0.0,neutral
@possibleidumwonyi1453,Am in 2022,3 years ago,0,am in 2022,2022,0.0,neutral
@kathyimsong1533,2022,3 years ago,0,2022,2022,0.0,neutral
@theproof5807,Anyone here in 2022 😂😂😂😂🤣🤣🤣😂,3 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@OGUNGOCRAZY,2022😂 it's still fresh 😂😂,3 years ago,1,2022 it's still fresh,2022 still fresh,0.3,positive
@gillianboyce8356,Poor denilson i love this episode and the one with petrol funny episodes,3 years ago,1,poor denilson i love this episode and the one with petrol funny episodes,poor denilson love episode one petrol funny episodes,0.11666666666666665,positive
@malawi5315,Mark do something about  Denison  igwe . We miss him..It was nice to have him please  reconcile and bring him back .everything  is possible  reconcile you guys pleases mark,3 years ago,1,mark do something about denison igwe we miss him it was nice to have him please reconcile and bring him back everything is possible reconcile you guys pleases mark,mark something denison igwe miss nice please reconcile bring back everything possible reconcile guys pleases mark,0.19999999999999998,positive
@haki2838,I’m Somali and like nigierin content,3 years ago,1,i m somali and like nigierin content,somali like nigierin content,0.0,neutral
@King-or7gh,Father x mas that don’t have money 💵😂😂,3 years ago,1,father x mas that don t have money,father mas money,0.0,neutral
@gromusicgromusic4595,I miss angel Mark na denilson togther acting 😭,3 years ago,1,i miss angel mark na denilson togther acting,miss angel mark na denilson togther acting,0.0,neutral
@renjiuzi,2022,3 years ago,1,2022,2022,0.0,neutral
@kefumutahi4702,Denilson was a very talented actor,3 years ago,1,denilson was a very talented actor,denilson talented actor,0.9099999999999999,positive
@jhani560,I feel sorry for Denilson leaving Mark Angel He is the funniest one I really like his style,3 years ago,2,i feel sorry for denilson leaving mark angel he is the funniest one i really like his style,feel sorry denilson leaving mark angel funniest one really like style,-0.15,negative
@yasirali4793,Anyone here in 2022✋,3 years ago,1,anyone here in 2022,anyone 2022,0.0,neutral
@DXXDXXV,2022😂,3 years ago,1,2022,2022,0.0,neutral
@rashidabdow2182,Who is here 2022 plz giv likes..,3 years ago,0,who is here 2022 plz giv likes,2022 plz giv likes,0.0,neutral
@jermainandrews3382,Anyone here in 2022 ?,3 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@ericapierre2929,Comedy,3 years ago,0,comedy,comedy,0.0,neutral
@ericapierre2929,Trump people,3 years ago,0,trump people,trump people,0.0,neutral
@ericapierre2929,African,3 years ago,0,african,african,0.0,neutral
@emmanueldecanha9423,Who’s here in 2022?🤪🤪,3 years ago,0,who s here in 2022,2022,0.0,neutral
@lepchaiki2606,Here 2022 march,3 years ago,0,here 2022 march,2022 march,0.0,neutral
@johnandreas6411,aleast at the end emmanuela should be honest to the doctor.she is being mean and naughty.,3 years ago,1,aleast at the end emmanuela should be honest to the doctor she is being mean and naughty,aleast end emmanuela honest doctor mean naughty,0.045833333333333316,neutral
@alinoorhassan9900,2022,3 years ago,0,2022,2022,0.0,neutral
@josephmduduzi6366,I enjoyed Mark ND Denilson and Auntie Emmanuella  company no wonder what happened,3 years ago,0,i enjoyed mark nd denilson and auntie emmanuella company no wonder what happened,enjoyed mark nd denilson auntie emmanuella company wonder happened,0.5,positive
@kassimawudu6213,Still here in 2022💓 Dhope👌👌 much love from Ghana 🇬🇭,3 years ago (edited),6,still here in 2022 dhope much love from ghana,still 2022 dhope much love ghana,0.5,positive
@RegentBella1,🤣😂🤣😂 Mark I’m not mad 🤣🤣put me down right now: I told him !!!,3 years ago,2,mark i m not mad put me down right now i told him,mark mad put right told,0.14755291005291005,positive
@loloheakoto4689,Did you just say nigga nigga is a swear word,3 years ago,1,did you just say nigga nigga is a swear word,say nigga nigga swear word,0.0,neutral
@annasofiuhh,hi,3 years ago,0,hi,hi,0.0,neutral
@Ashlo-Ren,I just randomly started saying “can you perceive it” and here I am back here in 2022 🤣,3 years ago,3,i just randomly started saying can you perceive it and here i am back here in 2022,randomly started saying perceive back 2022,-0.25,negative
@benmaya3153,He gonna call the popo😃,3 years ago,0,he gonna call the popo,gonna call popo,0.0,neutral
@benmaya3153,I miss him  so much  in marks. Comedy  Come  back    dens,3 years ago,0,i miss him so much in marks comedy come back dens,miss much marks comedy come back dens,0.1,neutral
@tatabawa2733,🤣🤣👏,3 years ago,0,,,0.0,neutral
@tatabawa2733,"""oh niga mark your still the same""
🙆🏻‍♀️🤣🤣🤣🤣
Denilson",3 years ago,0,oh niga mark your still the same denilson,oh niga mark still denilson,0.0,neutral
@preciousqueen8263,😂🤣😂🤣,3 years ago,0,,,0.0,neutral
@EMDKk,po po ye,3 years ago,1,po po ye,po po ye,0.0,neutral
@EMDKk,2022 here,3 years ago,1,2022 here,2022,0.0,neutral
@ተመዝገብየአራዳልጅ,Who's watching this in 2022. Denilson is the best 🤣🤣🤣,3 years ago,0,who's watching this in 2022 denilson is the best,who's watching 2022 denilson best,1.0,positive
@Curtly11111,Anyone here in 2022🙋,3 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@hpr_amin9713,E,3 years ago,1,e,,0.0,neutral
@hpr_amin9713,OLDER2MFOREVERCRNOWEBOTLIGHT,3 years ago,1,older2mforevercrnowebotlight,older2mforevercrnowebotlight,0.0,neutral
@mohamedabdifatah7158,Anyone here in 2022😂😂😂,3 years ago,0,anyone here in 2022,anyone 2022,0.0,neutral
@nyakio1435,The n,3 years ago,0,the n,,0.0,neutral
@kenedits7050,Anyone here 2022😂😂💪,3 years ago,0,anyone here 2022,anyone 2022,0.0,neutral
@bemancynthia7929,😂,3 years ago,0,,,0.0,neutral
@eunicemena1592,hahaha,3 years ago,0,hahaha,hahaha,0.2,positive
@khazimlamgolombane6782,Back here in 2022,3 years ago,0,back here in 2022,back 2022,0.0,neutral
@geefrm6197,2022 button,3 years ago,1,2022 button,2022 button,0.0,neutral
@braveboyvlogs1339,Denilsion u funny jokes men,3 years ago,0,denilsion u funny jokes men,denilsion funny jokes men,0.25,positive
@viviesprit7079,Lol lol ok lol lol lol lol,3 years ago,0,lol lol ok lol lol lol lol,lol lol ok lol lol lol lol,0.7571428571428571,positive
@FAITHASAURISBACK,Any one in 2022?,3 years ago,1,any one in 2022,one 2022,0.0,neutral
@patiencechimhanda3734,Taaaaa who's your pastor kkkkkkkkkkkkkkkk,3 years ago,0,taaaaa who's your pastor kkkkkkkkkkkkkkkk,taaaaa who's pastor kkkkkkkkkkkkkkkk,0.0,neutral
